date,time,text,type,profile,background,name
2023.05.18,,안녕 오빛 오랜만이야,Default,00,00,혜주
2023.05.18,18:34,진짜 오랜만이에요,Text,00,00,혜주
2023.05.18,18:34,저의 근황을 얘기하자면,Text,00,00,혜주
2023.05.18,18:35,달라진 상황은 없지만 그 속에서 열심히,Text,00,00,혜주
2023.05.18,18:35,즐겁게 살고 있어요,Text,00,00,혜주
2023.05.18,18:37,잘 지내고 있다 하니 마음이 좀 놓이죠?,Text,00,00,혜주
2023.05.18,18:43,이제부터 다시 차근차근 소통해 가려고 해요,Text,00,00,혜주
2023.05.18,18:45,저녁 잘 챙겨 먹고 저도 오늘 하루 잘 마무리할 테니 오빛들도 잘 보냅시다!!!,Text,00,00,혜주
2023.05.19,13:04,00,Image,00,00,혜주
2023.05.22,16:56,00,Image,00,00,혜주
2023.05.22,16:56,엄청난 힐링이다,Text,00,00,혜주
2023.05.22,16:56,🥹,Text,00,00,혜주
2023.05.22,19:43,게임은 젤다의 전설 티어스 오브 더 킹덤,Text,00,00,혜주
2023.05.22,19:43,저녁 먹는 시간이지,Text,00,00,혜주
2023.05.22,19:43,나더 방금 밥 먹었어,Text,00,00,혜주
2023.05.22,19:45,저메추?,Text,00,00,혜주
2023.05.22,19:45,음,Text,00,00,혜주
2023.05.22,19:45,냉면,Text,00,00,혜주
2023.05.22,19:46,물냉 비냉 둘 다 괜찮아요,Text,00,00,혜주
2023.05.22,19:47,고생 많았어 오늘 하루ㅜ,Text,00,00,혜주
2023.05.22,19:48,맛있는 저녁 먹으면서 힘들었던 일 있으면 털어내자!!!!!!!!!!!,Text,00,00,혜주
2023.05.28,08:28,00,Image,00,00,혜주
2023.05.28,08:30,01,Image,00,00,혜주
2023.05.28,08:30,결혼식 가고 있어,Text,00,00,혜주
2023.05.28,08:31,광주로,Text,00,00,혜주
2023.05.28,08:32,비 와서 다들 안 나가고 집에 있나?,Text,00,00,혜주
2023.05.28,08:32,모처럼 연휴인데,Text,00,00,혜주
2023.05.28,08:34,아 이거 기능 중에 해보고 싶었던 거 있었는데,Text,00,00,혜주
2023.05.28,08:34,@ 안녕,Text,00,00,혜주
2023.05.28,08:35,오 되나보네,Text,00,00,혜주
2023.05.28,08:35,자주 애용하도록 하죠,Text,00,00,혜주
2023.05.28,08:36,근데 셀카 안 찍다보니까,Text,00,00,혜주
2023.05.28,08:37,각도도 이상해지고,Text,00,00,혜주
2023.05.28,08:37,완전 까먹었어,Text,00,00,혜주
2023.05.28,08:37,🤦🏻‍♀️,Text,00,00,혜주
2023.05.28,08:37,셀프 헤메🙆‍♀️,Text,00,00,혜주
2023.05.28,08:39,다들 요즘 즐겨보는 드라마나 영화있나??,Text,00,00,혜주
2023.05.28,08:40,나는 최근에 영화관 가서 슈퍼마리오 봤는데,Text,00,00,혜주
2023.05.28,08:41,슈퍼마리오 옛날 게임부터 오디세이까지,Text,00,00,혜주
2023.05.28,08:41,해본 사람은 더 재밌게 봤을 것 같아,Text,00,00,혜주
2023.05.28,08:42,그래서 난 굉장히 재미ㅛ게 봤음,Text,00,00,혜주
2023.05.28,08:42,구름이 근황,Text,00,00,혜주
2023.05.28,08:44,사진이 왜 안 가지,Text,00,00,혜주
2023.05.28,08:46,사진이 로딩만 되고 안 가네,Text,00,00,혜주
2023.05.28,08:46,근황..걍 잘지내고 있어요........,Text,00,00,혜주
2023.05.28,08:46,건강합니다..,Text,00,00,혜주
